,0,1
385,8.228165,2.5164227
386,4.86862,0.44294858
387,6.1420956,1.153759
388,9.207639,3.329171
389,-0.85767466,12.326301
390,6.0547714,1.9719218
391,5.433982,-14.140553
392,5.429617,-14.169855
393,-4.7060323,0.56985766
394,-4.427567,0.21973
395,-7.7767916,-0.6978157
396,-7.8186474,-0.6543063
397,-7.0151734,-0.15038684
398,-7.169009,0.109340556
399,-7.6901097,-0.28354016
400,-4.1489253,6.8903856
401,-1.7023449,9.207279
402,4.7569313,-3.6096828
403,8.991838,3.2755659
404,6.178587,-10.149453
405,5.9163275,1.7524447
406,6.7916636,2.288261
407,-2.7448807,7.324566
408,0.49136984,6.7650757
409,4.647025,-3.845848
410,9.217615,1.502158
411,-2.9113095,3.322454
412,4.6097403,1.2038496
413,0.27489126,7.068676
414,5.682045,2.070705
415,7.737113,1.6482617
416,9.114947,1.6272166
417,-4.477441,-5.38412
418,8.516102,0.305766
419,9.331652,3.3547435
420,9.363859,3.371548
421,9.396739,3.2017446
422,6.7893205,1.916007
423,4.4327483,-4.4001236
424,-2.6820307,7.349416
425,-3.201456,4.1792717
426,7.7653112,2.2803698
427,7.745535,-0.2905744
428,7.977649,0.5472419
429,0.6457875,-0.65084153
430,-2.5613582,3.2832932
431,0.4037527,8.064714
432,8.970644,-0.5643895
433,-3.291592,5.316647
434,-3.0722666,6.4570746
435,-6.613643,-2.74615
436,-2.446374,6.965042
437,-2.7721438,7.1573577
438,-3.84819,7.310243
439,-3.5234551,1.2924258
440,-4.6975646,0.74679
441,1.0245076,5.879521
442,0.40074858,6.669835
443,0.9458694,5.9431567
444,0.8873844,5.969811
445,5.2735653,0.07722815
446,5.465475,-0.51917434
447,7.7194123,2.6129615
448,7.5924897,-0.8459012
449,-3.8750193,1.2630035
450,7.5705185,-1.1287827
451,-5.4630637,-5.9950056
452,1.9409112,4.1952896
453,2.4579053,3.1355906
454,-6.069254,-0.5144563
455,-3.686331,4.308381
456,-6.548354,-0.33595374
457,6.3569145,1.5692545
458,0.79593015,6.2806964
459,8.879678,-9.288922
460,0.05006811,15.677144
461,-6.0442085,-0.992706
462,-6.546758,2.9621677
463,-5.390618,4.214464
464,7.1080174,2.4966774
465,-1.0364672,-1.4839576
466,-1.9231966,-1.8410119
467,-1.8938824,-1.9669048
468,-4.5499234,-1.1183225
469,-4.838168,-2.2537036
470,-5.112229,0.070145115
471,0.8572242,-0.19647
472,-5.2630396,-2.3998454
473,-6.771749,-2.8389652
474,-2.9674892,-5.221303
475,-6.1712303,-2.2854843
476,-6.383654,-2.6581903
477,1.6609509,4.793868
478,-8.624812,-3.3285267
479,-8.538429,-2.0830975
480,6.844076,2.2574167
481,3.4210677,1.7397428
482,2.7400625,1.36294
483,6.2895474,2.2177846
484,-4.233758,4.9359093
485,-4.6003695,4.132483
486,-5.3975706,4.173507
487,-5.4415865,4.712042
488,-4.623095,6.030592
489,-5.2147427,2.2495053
490,-5.442002,4.019964
491,0.10122629,15.825032
492,4.4306498,-6.64615
493,-8.511791,-3.431187
494,-0.73047066,-0.94140565
495,5.290628,-7.829472
496,4.2933884,2.8738291
497,4.3189664,2.838704
498,4.3575573,2.7740967
499,4.4383583,2.6990242
500,4.4136124,2.7280073
501,4.2626324,2.6051261
502,4.1234255,2.6400752
503,6.70031,1.036358
504,4.7929015,-2.5345387
505,9.231579,-0.9535221
506,9.085353,-0.97712797
507,5.6954327,-9.5581
508,-4.551572,-6.6004634
509,-6.2706695,-0.1449621
510,4.927002,-8.572124
511,4.4862623,-6.4097137
512,-6.4115543,0.4887179
513,-6.415133,0.3351756
514,-1.728495,7.7101555
515,4.450078,-6.811802
516,-4.7473803,-6.439623
517,-5.4708276,-6.3705034
518,-5.47914,-6.3108892
519,3.8054361,-8.033114
520,4.544053,-5.9878583
521,3.5471497,-8.344912
522,3.6230237,-8.378833
523,-5.4943466,-1.8011041
524,-3.1832066,0.6773667
525,4.6139264,-5.397254
526,4.4171543,-8.40655
527,-4.5244145,-6.47765
528,4.4603257,-6.3382154
529,3.8301096,-8.033596
530,-4.820692,-5.2590475
531,-4.7093406,-4.861143
532,-6.581383,0.97448045
533,3.6536465,-8.123633
534,-4.8118415,-6.38838
535,4.1474066,-0.70631266
536,3.8312788,-8.059837
537,3.7481892,-8.081713
538,4.5440707,-6.1180263
539,0.9439189,5.9667444
540,6.3467298,-9.246156
541,4.0459337,-8.197132
542,3.7985218,-8.048539
543,3.64517,-8.209116
544,4.757068,-2.1851692
545,4.0060554,1.1138508
546,3.4108133,0.13765539
547,4.055055,0.8147927
548,-11.185326,-3.5048397
549,4.662517,-5.053335
550,-6.484231,-3.5129938
551,-5.0179205,-4.781294
552,9.128039,1.4642265
553,-0.09229362,15.500986
554,4.714512,-3.6080446
555,5.4352713,-14.093965
556,1.5256574,4.935212
557,0.8580813,5.9483037
558,2.45459,0.41634765
559,4.670829,-1.068834
560,4.192868,-0.65802234
561,4.38018,-0.8362306
562,4.012964,-0.7208895
563,3.6882493,-0.55326074
564,7.487354,-0.03492794
565,2.9350572,-0.35295194
566,2.5885367,-0.30668747
567,3.0328894,-0.4607264
568,2.4258204,-0.36052585
569,2.694678,-0.11840379
570,6.397515,1.9269633
571,8.721945,-9.397749
572,8.231586,-9.586747
573,-0.7382937,8.210618
574,8.601275,-9.547385
575,-9.155163,-3.1105728
576,2.654124,1.340631
577,-5.18833,-4.670512
578,8.24823,-9.60552
579,-4.8607564,-6.6475816
580,7.7831435,0.20398642
581,7.8185377,0.2840742
582,-11.134128,-3.4800327
583,6.564085,-8.435408
584,-6.2381835,-4.3175955
